Unnamed: 1	#Wave	Unnamed: 3	#Intensity
699.292969	6113.438965		
700.611694	6243.875		
701.93042	6233.036621		
703.249146	6289.402344		
704.567871	6308.763184		
705.886597	6257.724609		
707.205322	6267.17627		
708.524048	6458.877441		
709.842773	6288.386719		
711.161499	6344.27832		
712.480225	6323.25293		
713.79895	6308.18457		
715.117676	6315.188477		
716.436401	6312.65918		
717.755127	6398.186035		
719.073853	6441.480469		
720.392578	6426.233887		
721.711304	6430.900879		
723.030029	6420.745117		
724.348755	6424.058594		
725.66748	6452.391602		
726.986206	6441.200684		
728.304932	6481.777832		
729.623657	6476.846191		
730.942383	6448.240234		
732.261108	6423.727539		
733.579834	6481.061523		
734.89856	6572.822754		
736.217285	6547.190918		
737.536011	6484.516602		
738.854736	6505.348145		
740.173462	6467.785156		
741.492188	6472.609375		
742.810913	6510.960449		
744.129639	6564.189453		
745.448364	6603.118164		
746.76709	6551.790039		
748.085815	6569.846191		
749.404541	6552.037598		
750.723267	6523.991211		
752.041992	6569.49707		
753.360718	6595.742676		
754.679443	6573.255371		
755.998169	6648.217773		
757.316895	6635.064941		
758.63562	6519.601074		
759.954346	6641.943359		
761.273071	6617.903809		
762.591797	6540.816895		
763.910522	6542.882324		
765.229248	6600.063965		
766.547974	6644.848633		
767.866699	6737.097656		
769.185425	6637.969238		
770.50415	6647.637695		
771.822876	6684.421875		
773.141602	6675.309082		
774.460327	6679.933105		
775.779053	6781.451172		
777.097778	6585.186523		
778.416504	6773.058105		
779.735229	6699.68457		
781.053955	6740.937988		
782.372681	6800.471191		
783.691406	6782.069824		
785.010132	6734.208008		
786.328857	6713.591309		
787.647583	6799.146484		
788.966309	6781.671875		
790.285034	6821.962891		
791.60376	6806.870117		
792.922485	6795.109375		
794.241211	6887.009277		
795.559937	7016.625488		
796.878662	6839.84668		
798.197388	6779.208496		
799.516113	6920.930176		
800.834839	6902.665527		
802.153564	6871.383301		
803.47229	6898.00293		
804.791016	6925.283203		
806.109741	6914.018555		
807.428467	6981.40625		
808.747192	6892.495117		
810.065918	6975.383301		
811.384644	6953.288086		
812.703369	7005.105469		
814.022095	7056.588379		
815.34082	6981.015137		
816.659546	7048.726563		
817.978271	7168.160156		
819.296997	7143.900391		
820.615723	7090.981934		
821.934448	7101.219238		
823.253174	7159.98291		
824.571899	7151.676758		
825.890625	7070.958008		
827.209351	7171.789063		
828.528076	7023.95166		
829.846802	7107.384766		
831.165527	7164.022949		
832.484253	7163.863281		
833.802979	7141.866211		
835.121704	7138.53418		
836.44043	7164.120117		
837.759155	7191.85498		
839.077881	7190.108398		
840.396606	7172.11084		
841.715332	7219.441895		
843.034058	7202.72998		
844.352783	7266.753418		
845.671509	7336.08252		
846.990234	7228.689453		
848.30896	7235.368164		
849.627686	7290.325195		
850.946411	7354.826172		
852.265137	7307.930176		
853.583862	7319.413086		
854.902588	7280.505859		
856.221313	7193.418945		
857.540039	7222.193848		
858.858765	7364.159668		
860.17749	7260.387207		
861.496216	7361.305664		
862.814941	7258.586426		
864.133667	7307.179199		
865.452393	7359.170898		
866.771118	7303.709961		
868.089844	7275.750488		
869.408569	7412.282227		
870.727295	7393.012695		
872.046021	7360.943848		
873.364746	7361.399902		
874.683472	7397.924805		
876.002197	7435.183594		
877.320923	7408.844238		
878.639648	7337.498047		
879.958374	7364.65625		
881.2771	7519.555664		
882.595825	7385.935547		
883.914551	7390.989258		
885.233276	7431.060547		
886.552002	7437.868164		
887.870728	7477.025879		
